Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1639570452,2021-12-15T12:14:12Z,AZU4611,"-22.444794,-41.837887",2450,145,33
1639570458,2021-12-15T12:14:18Z,AZU4611,"-22.441391,-41.83548",2375,141,33
1639570467,2021-12-15T12:14:27Z,AZU4611,"-22.436371,-41.831894",2300,135,32
1639570476,2021-12-15T12:14:36Z,AZU4611,"-22.431707,-41.828564",2225,129,33
1639570483,2021-12-15T12:14:43Z,AZU4611,"-22.428495,-41.826324",2150,126,32
1639570489,2021-12-15T12:14:49Z,AZU4611,"-22.42547,-41.824291",2075,124,32
1639570498,2021-12-15T12:14:58Z,AZU4611,"-22.421402,-41.821304",1950,114,33
1639570507,2021-12-15T12:15:07Z,AZU4611,"-22.417419,-41.818409",1800,107,33
1639570516,2021-12-15T12:15:16Z,AZU4611,"-22.413483,-41.815613",1700,105,31
1639570522,2021-12-15T12:15:22Z,AZU4611,"-22.411011,-41.814014",1625,104,30
1639570529,2021-12-15T12:15:29Z,AZU4611,"-22.408493,-41.812317",1575,105,32
1639570534,2021-12-15T12:15:34Z,AZU4611,"-22.405975,-41.810619",1525,105,32
1639570541,2021-12-15T12:15:41Z,AZU4611,"-22.403265,-41.808727",1450,105,33
1639570547,2021-12-15T12:15:47Z,AZU4611,"-22.400848,-41.807022",1400,107,32
1639570554,2021-12-15T12:15:54Z,AZU4611,"-22.397964,-41.804977",1300,108,34
1639570560,2021-12-15T12:16:00Z,AZU4611,"-22.395401,-41.803177",1250,109,33
1639570565,2021-12-15T12:16:05Z,AZU4611,"-22.39307,-41.801502",1175,106,33
1639570571,2021-12-15T12:16:11Z,AZU4611,"-22.390549,-41.799683",1125,107,33
1639570577,2021-12-15T12:16:17Z,AZU4611,"-22.387901,-41.797894",1075,110,32
1639570582,2021-12-15T12:16:22Z,AZU4611,"-22.385807,-41.796467",1025,108,31
1639570590,2021-12-15T12:16:30Z,AZU4611,"-22.382456,-41.794079",950,107,32
1639573367,2021-12-15T13:02:47Z,AZU4611,"-22.323257,-41.75259",1100,124,34
1639573389,2021-12-15T13:03:09Z,AZU4611,"-22.31151,-41.743774",1375,149,34
1639573400,2021-12-15T13:03:20Z,AZU4611,"-22.304482,-41.738689",1500,158,33
1639573438,2021-12-15T13:03:58Z,AZU4611,"-22.279808,-41.721954",2325,167,31
1639573449,2021-12-15T13:04:09Z,AZU4611,"-22.27272,-41.717236",2550,169,31
1639573459,2021-12-15T13:04:19Z,AZU4611,"-22.265762,-41.712589",2800,169,31
1639573465,2021-12-15T13:04:25Z,AZU4611,"-22.261932,-41.710003",2925,170,32
1639573514,2021-12-15T13:05:14Z,AZU4611,"-22.226807,-41.690269",3900,176,26
1639573519,2021-12-15T13:05:19Z,AZU4611,"-22.222549,-41.68803",4025,176,26
1639573526,2021-12-15T13:05:26Z,AZU4611,"-22.218063,-41.685623",4150,176,26
1639573532,2021-12-15T13:05:32Z,AZU4611,"-22.213074,-41.682926",4325,174,26
1639573538,2021-12-15T13:05:38Z,AZU4611,"-22.209274,-41.680882",4475,172,26
1639573544,2021-12-15T13:05:44Z,AZU4611,"-22.204971,-41.678585",4600,172,26
1639573551,2021-12-15T13:05:51Z,AZU4611,"-22.199924,-41.675922",4725,173,26
1639573560,2021-12-15T13:06:00Z,AZU4611,"-22.193361,-41.672413",4900,175,26
1639573565,2021-12-15T13:06:05Z,AZU4611,"-22.189125,-41.670177",4975,179,26
1639573574,2021-12-15T13:06:14Z,AZU4611,"-22.182266,-41.666447",5000,187,26
1639573587,2021-12-15T13:06:27Z,AZU4611,"-22.172333,-41.661156",5025,196,26
1639573599,2021-12-15T13:06:39Z,AZU4611,"-22.161798,-41.655476",5000,204,26
1639573612,2021-12-15T13:06:52Z,AZU4611,"-22.15123,-41.649868",5000,207,26
1639573624,2021-12-15T13:07:04Z,AZU4611,"-22.140747,-41.644276",4975,210,26
1639573630,2021-12-15T13:07:10Z,AZU4611,"-22.135391,-41.64143",5000,209,26
1639573642,2021-12-15T13:07:22Z,AZU4611,"-22.124542,-41.635738",5000,214,25
1639573654,2021-12-15T13:07:34Z,AZU4611,"-22.114082,-41.630199",5000,219,25
1639573665,2021-12-15T13:07:45Z,AZU4611,"-22.102863,-41.624249",5000,224,26
1639573678,2021-12-15T13:07:58Z,AZU4611,"-22.091354,-41.618057",5000,231,26
1639573692,2021-12-15T13:08:12Z,AZU4611,"-22.077667,-41.610767",5000,234,26
1639573712,2021-12-15T13:08:32Z,AZU4611,"-22.057428,-41.600037",5000,238,26
1639573724,2021-12-15T13:08:44Z,AZU4611,"-22.045898,-41.593887",5000,241,26
1639573740,2021-12-15T13:09:00Z,AZU4611,"-22.028961,-41.58485",5000,243,26
1639573753,2021-12-15T13:09:13Z,AZU4611,"-22.016275,-41.578064",5000,243,26
1639573765,2021-12-15T13:09:25Z,AZU4611,"-22.003784,-41.571415",5000,245,26
1639573778,2021-12-15T13:09:38Z,AZU4611,"-21.991013,-41.564625",5000,245,26
1639573790,2021-12-15T13:09:50Z,AZU4611,"-21.978243,-41.557819",5000,246,26
1639573802,2021-12-15T13:10:02Z,AZU4611,"-21.965652,-41.55109",5000,246,26
1639573815,2021-12-15T13:10:15Z,AZU4611,"-21.952744,-41.54425",5000,247,26
1639573827,2021-12-15T13:10:27Z,AZU4611,"-21.940302,-41.537628",5000,246,26
1639573839,2021-12-15T13:10:39Z,AZU4611,"-21.927454,-41.530762",5000,245,26
1639573852,2021-12-15T13:10:52Z,AZU4611,"-21.915211,-41.52425",5000,244,26
1639573864,2021-12-15T13:11:04Z,AZU4611,"-21.902664,-41.517532",5000,238,26
1639573876,2021-12-15T13:11:16Z,AZU4611,"-21.890945,-41.511292",4975,229,26
1639573882,2021-12-15T13:11:22Z,AZU4611,"-21.884903,-41.508045",4925,224,27
1639573889,2021-12-15T13:11:29Z,AZU4611,"-21.879044,-41.504299",4800,224,32
1639573892,2021-12-15T13:11:32Z,AZU4611,"-21.876572,-41.502483",4750,223,35
1639573895,2021-12-15T13:11:35Z,AZU4611,"-21.873734,-41.500206",4675,223,37
1639573898,2021-12-15T13:11:38Z,AZU4611,"-21.871359,-41.498108",4625,222,40
1639573901,2021-12-15T13:11:41Z,AZU4611,"-21.868973,-41.495811",4575,222,42
1639573905,2021-12-15T13:11:45Z,AZU4611,"-21.866518,-41.493225",4500,222,45
1639573908,2021-12-15T13:11:48Z,AZU4611,"-21.864441,-41.490868",4450,221,47
1639573911,2021-12-15T13:11:51Z,AZU4611,"-21.862188,-41.488293",4400,220,47
1639573914,2021-12-15T13:11:54Z,AZU4611,"-21.860138,-41.485825",4350,220,47
1639573917,2021-12-15T13:11:57Z,AZU4611,"-21.857859,-41.483204",4300,219,46
1639573920,2021-12-15T13:12:00Z,AZU4611,"-21.855743,-41.480831",4250,218,46
1639573923,2021-12-15T13:12:03Z,AZU4611,"-21.853455,-41.478233",4175,217,46
1639573926,2021-12-15T13:12:06Z,AZU4611,"-21.851387,-41.47583",4125,217,46
1639573929,2021-12-15T13:12:09Z,AZU4611,"-21.849289,-41.473488",4050,217,47
1639573935,2021-12-15T13:12:15Z,AZU4611,"-21.845215,-41.468845",3950,215,46
1639573942,2021-12-15T13:12:22Z,AZU4611,"-21.840775,-41.463749",3825,210,47
1639573948,2021-12-15T13:12:28Z,AZU4611,"-21.836655,-41.459057",3700,207,46
1639573954,2021-12-15T13:12:34Z,AZU4611,"-21.832813,-41.45467",3600,204,46
1639573960,2021-12-15T13:12:40Z,AZU4611,"-21.828735,-41.450016",3500,200,47
1639573966,2021-12-15T13:12:46Z,AZU4611,"-21.825027,-41.445774",3375,197,46
1639573972,2021-12-15T13:12:52Z,AZU4611,"-21.821045,-41.441227",3275,193,46
1639573979,2021-12-15T13:12:59Z,AZU4611,"-21.817383,-41.436985",3150,188,47
1639573985,2021-12-15T13:13:05Z,AZU4611,"-21.813726,-41.43285",3075,186,46
1639573991,2021-12-15T13:13:11Z,AZU4611,"-21.809921,-41.428593",2975,186,46
1639573997,2021-12-15T13:13:17Z,AZU4611,"-21.806168,-41.424252",2850,185,47
1639574006,2021-12-15T13:13:26Z,AZU4611,"-21.801086,-41.418407",2700,178,46
1639574012,2021-12-15T13:13:32Z,AZU4611,"-21.797516,-41.414364",2600,176,46
1639574019,2021-12-15T13:13:39Z,AZU4611,"-21.793945,-41.410316",2500,171,46
1639574025,2021-12-15T13:13:45Z,AZU4611,"-21.790823,-41.406757",2425,167,46
1639574031,2021-12-15T13:13:51Z,AZU4611,"-21.787565,-41.403149",2350,164,45
1639574037,2021-12-15T13:13:57Z,AZU4611,"-21.784378,-41.399479",2300,159,47
1639574043,2021-12-15T13:14:03Z,AZU4611,"-21.781281,-41.395924",2250,156,46
1639574049,2021-12-15T13:14:09Z,AZU4611,"-21.778395,-41.39262",2175,149,46
1639574055,2021-12-15T13:14:15Z,AZU4611,"-21.775452,-41.389294",2175,145,46
1639574061,2021-12-15T13:14:21Z,AZU4611,"-21.772621,-41.386108",2100,144,46
1639574068,2021-12-15T13:14:28Z,AZU4611,"-21.769821,-41.3829",2050,136,47
1639574074,2021-12-15T13:14:34Z,AZU4611,"-21.767221,-41.379902",1975,128,46
1639574083,2021-12-15T13:14:43Z,AZU4611,"-21.763687,-41.375858",1875,118,47
1639574089,2021-12-15T13:14:49Z,AZU4611,"-21.761309,-41.373291",1800,118,45
1639574095,2021-12-15T13:14:55Z,AZU4611,"-21.758926,-41.370667",1700,115,45
1639574101,2021-12-15T13:15:01Z,AZU4611,"-21.756683,-41.368168",1675,115,45
1639574107,2021-12-15T13:15:07Z,AZU4611,"-21.754465,-41.365662",1625,111,47
1639574116,2021-12-15T13:15:16Z,AZU4611,"-21.751347,-41.362",1525,109,47
1639574122,2021-12-15T13:15:22Z,AZU4611,"-21.749176,-41.359581",1475,110,46
1639574129,2021-12-15T13:15:29Z,AZU4611,"-21.746925,-41.357067",1400,111,46
1639574135,2021-12-15T13:15:35Z,AZU4611,"-21.744644,-41.354473",1350,113,45
1639574141,2021-12-15T13:15:41Z,AZU4611,"-21.742355,-41.35194",1300,114,47
1639574147,2021-12-15T13:15:47Z,AZU4611,"-21.740267,-41.349438",1225,113,47
1639574153,2021-12-15T13:15:53Z,AZU4611,"-21.737986,-41.34679",1175,113,47
1639574160,2021-12-15T13:16:00Z,AZU4611,"-21.735764,-41.3442",1100,109,47
1639574166,2021-12-15T13:16:06Z,AZU4611,"-21.73361,-41.341705",1050,109,46
1639574172,2021-12-15T13:16:12Z,AZU4611,"-21.731415,-41.339306",975,108,45
1639574178,2021-12-15T13:16:18Z,AZU4611,"-21.729328,-41.337025",900,107,45
1639574187,2021-12-15T13:16:27Z,AZU4611,"-21.726196,-41.333412",825,106,48
1639574193,2021-12-15T13:16:33Z,AZU4611,"-21.724207,-41.331074",750,106,46
1639574200,2021-12-15T13:16:40Z,AZU4611,"-21.721972,-41.328583",675,107,46
1639574206,2021-12-15T13:16:46Z,AZU4611,"-21.719879,-41.326221",600,106,46
1639574212,2021-12-15T13:16:52Z,AZU4611,"-21.717773,-41.323826",550,107,46
1639574218,2021-12-15T13:16:58Z,AZU4611,"-21.715689,-41.321461",475,107,47
1639574224,2021-12-15T13:17:04Z,AZU4611,"-21.713562,-41.319031",425,104,47
1639574230,2021-12-15T13:17:10Z,AZU4611,"-21.711544,-41.31673",375,101,47
1639574236,2021-12-15T13:17:16Z,AZU4611,"-21.709637,-41.314495",300,101,48
1639574242,2021-12-15T13:17:22Z,AZU4611,"-21.707682,-41.312206",250,103,46
1639574249,2021-12-15T13:17:29Z,AZU4611,"-21.705492,-41.309814",175,104,47
1639574254,2021-12-15T13:17:34Z,AZU4611,"-21.703583,-41.307594",125,104,46
1639574261,2021-12-15T13:17:41Z,AZU4611,"-21.701536,-41.305286",75,101,47
1639574266,2021-12-15T13:17:46Z,AZU4611,"-21.700024,-41.303574",0,86,47
1639574272,2021-12-15T13:17:52Z,AZU4611,"-21.698536,-41.301876",0,63,47
1639574278,2021-12-15T13:17:58Z,AZU4611,"-21.697449,-41.30064",0,44,47
1639574289,2021-12-15T13:18:09Z,AZU4611,"-21.696384,-41.299431",0,20,45
1639574299,2021-12-15T13:18:19Z,AZU4611,"-21.695961,-41.298943",0,10,47
1639574306,2021-12-15T13:18:26Z,AZU4611,"-21.695835,-41.298733",0,7,59
1639574313,2021-12-15T13:18:33Z,AZU4611,"-21.695705,-41.298523",0,7,47
1639574326,2021-12-15T13:18:46Z,AZU4611,"-21.696144,-41.299168",0,8,222
1639574357,2021-12-15T13:19:17Z,AZU4611,"-21.697254,-41.30043",0,25,227
1639574363,2021-12-15T13:19:23Z,AZU4611,"-21.697781,-41.301029",0,28,227
1639574369,2021-12-15T13:19:29Z,AZU4611,"-21.698376,-41.301716",0,30,227
1639574375,2021-12-15T13:19:35Z,AZU4611,"-21.698963,-41.302387",0,28,227
1639574382,2021-12-15T13:19:42Z,AZU4611,"-21.699532,-41.303013",0,28,225
1639574388,2021-12-15T13:19:48Z,AZU4611,"-21.700092,-41.303661",0,27,227
1639574393,2021-12-15T13:19:53Z,AZU4611,"-21.700583,-41.304218",0,27,227
1639574400,2021-12-15T13:20:00Z,AZU4611,"-21.70118,-41.304897",0,27,227
1639574406,2021-12-15T13:20:06Z,AZU4611,"-21.701675,-41.305466",0,26,227
1639574413,2021-12-15T13:20:13Z,AZU4611,"-21.702188,-41.306038",0,22,227
1639574419,2021-12-15T13:20:19Z,AZU4611,"-21.70256,-41.306469",0,16,227
1639574423,2021-12-15T13:20:23Z,AZU4611,"-21.702711,-41.306686",0,12,247
1639574427,2021-12-15T13:20:27Z,AZU4611,"-21.7027,-41.306915",0,11,295
1639574432,2021-12-15T13:20:32Z,AZU4611,"-21.702518,-41.307121",0,11,317
1639574438,2021-12-15T13:20:38Z,AZU4611,"-21.702312,-41.30732",0,10,317
1639574450,2021-12-15T13:20:50Z,AZU4611,"-21.701889,-41.307384",0,9,39
1639574456,2021-12-15T13:20:56Z,AZU4611,"-21.701672,-41.307259",0,9,5
1639574462,2021-12-15T13:21:02Z,AZU4611,"-21.701454,-41.307308",0,9,337

